data,data de último acesso,id,turmaTrilha,atividadesFeitas,atividadesCorretas,atividadesGerais
2021-12-06,2021-12-14,565881,22900101,703.0,701.0,2710.0
2021-12-06,2021-12-13,836367,12900201,326.0,321.0,1282.0
2021-12-06,2021-12-08,737388,1674940,312.0,308.0,1224.0
2021-12-06,2021-12-13,837495,12900201,326.0,307.0,1183.0
2021-12-06,2021-12-13,898017,24900301,300.0,297.0,1085.0
2021-12-06,2021-12-13,894254,1667814,240.0,235.0,1029.0
2021-12-06,2021-12-09,898274,11901501,242.0,234.0,935.0
2021-12-06,2021-12-12,898268,21900601,231.0,231.0,937.0
2021-12-06,2021-12-09,593530,12405431,216.0,213.0,878.0
2021-12-06,2021-12-13,728415,1667712,242.0,210.0,936.0
2021-12-06,2021-12-14,721627,21900501,207.0,201.0,770.0
2021-12-06,2021-12-08,566380,21900101,223.0,200.0,909.0
2021-12-06,2021-12-09,898142,11901501,209.0,199.0,635.0
2021-12-06,2021-12-13,580617,12403611,208.0,191.0,819.0
2021-12-06,2021-12-13,855911,12406031,191.0,185.0,738.0
2021-12-06,2021-12-07,737067,1667802,186.0,182.0,704.0
2021-12-06,2021-12-11,729878,1667066,209.0,178.0,831.0
2021-12-06,2021-12-12,569131,11402811,185.0,177.0,695.0
2021-12-06,2021-12-08,738852,1674940,176.0,174.0,667.0
2021-12-06,2021-12-11,837199,11402611,177.0,173.0,677.0
2021-12-06,2021-12-08,725093,1674814,176.0,171.0,691.0
2021-12-06,2021-12-07,738678,1664785,170.0,168.0,611.0
2021-12-06,2021-12-12,730906,1667833,200.0,166.0,801.0
2021-12-06,2021-12-10,844849,12409631,165.0,163.0,645.0
2021-12-06,2021-12-08,898047,21900501,172.0,162.0,690.0
2021-12-06,2021-12-13,581865,12406111,162.0,161.0,623.0
2021-12-06,2021-12-11,569488,11402811,166.0,159.0,627.0
2021-12-06,2021-12-07,594742,12407131,191.0,155.0,741.0
2021-12-06,2021-12-10,731007,1667737,154.0,148.0,618.0
2021-12-06,2021-12-14,495537,"11900201,21900601",145.0,142.0,497.0
2021-12-06,2021-12-13,773669,24400111,161.0,142.0,562.0
2021-12-06,2021-12-10,592570,12404031,142.0,141.0,510.0
2021-12-06,2021-12-10,738325,1674940,142.0,137.0,590.0
2021-12-06,2021-12-10,898286,21900501,139.0,135.0,494.0
2021-12-06,2021-12-07,768720,1671087,145.0,135.0,565.0
2021-12-06,2021-12-13,836261,12401531,136.0,135.0,511.0
2021-12-06,2021-12-14,592124,12409531,136.0,134.0,519.0
2021-12-06,2021-12-11,730874,1671477,139.0,133.0,543.0
2021-12-06,2021-12-10,518043,25400631,132.0,127.0,610.0
2021-12-06,2021-12-12,566520,23900101,128.0,124.0,472.0
2021-12-06,2021-12-13,582335,12406311,147.0,123.0,575.0
2021-12-06,2021-12-13,775597,25900201,123.0,121.0,390.0
2021-12-06,2021-12-06,732012,1671477,123.0,118.0,436.0
2021-12-06,2021-12-08,594005,12406731,121.0,116.0,479.0
2021-12-06,2021-12-10,908013,1667737,120.0,115.0,438.0
2021-12-06,2021-12-11,724940,1666945,139.0,114.0,535.0
2021-12-06,2021-12-06,730151,1671477,118.0,114.0,477.0
2021-12-06,2021-12-08,725358,1664084,120.0,114.0,431.0
2021-12-06,2021-12-10,728777,1690507,131.0,113.0,489.0
2021-12-06,2021-12-13,837366,12401531,117.0,112.0,441.0
2021-12-06,2021-12-13,580437,12404511,114.0,112.0,406.0
2021-12-06,2021-12-13,738195,1667814,112.0,111.0,424.0
2021-12-06,2021-12-13,595674,12408431,112.0,110.0,456.0
2021-12-06,2021-12-12,835655,"11400232,11400331",123.0,110.0,463.0
2021-12-06,2021-12-08,883882,1667786,110.0,109.0,448.0
2021-12-06,2021-12-12,865105,12400113,231.0,109.0,880.0
2021-12-06,2021-12-12,593583,12405331,129.0,107.0,388.0
2021-12-06,2021-12-07,582694,21400811,109.0,107.0,400.0
2021-12-06,2021-12-11,729419,1667734,108.0,106.0,393.0
2021-12-06,2021-12-13,580359,12403911,107.0,106.0,450.0
2021-12-06,2021-12-13,489967,24402331,107.0,105.0,277.0
2021-12-06,2021-12-07,724502,1667712,105.0,105.0,408.0
2021-12-06,2021-12-12,598907,21403531,106.0,104.0,396.0
2021-12-06,2021-12-07,908008,1667745,106.0,104.0,366.0
2021-12-06,2021-12-06,737462,1671477,110.0,104.0,404.0
2021-12-06,2021-12-10,569054,11402611,115.0,103.0,431.0
2021-12-06,2021-12-12,737695,1671477,126.0,102.0,495.0
2021-12-06,2021-12-10,773438,11400111,103.0,102.0,372.0
2021-12-06,2021-12-13,580350,12404011,103.0,102.0,422.0
2021-12-06,2021-12-11,836850,12405531,115.0,98.0,399.0
2021-12-06,2021-12-07,729745,1690546,98.0,98.0,337.0
2021-12-06,2021-12-09,569189,11403011,99.0,97.0,429.0
2021-12-06,2021-12-13,487569,"1688769,24401031",98.0,97.0,379.0
2021-12-06,2021-12-10,730747,1667814,102.0,97.0,368.0
2021-12-06,2021-12-13,496350,25900101,97.0,96.0,363.0
2021-12-06,2021-12-10,834705,11405911,100.0,95.0,431.0
2021-12-06,2021-12-12,568634,11402611,96.0,95.0,338.0
2021-12-06,2021-12-11,730945,1667066,111.0,95.0,438.0
2021-12-06,2021-12-10,572825,11409311,96.0,95.0,362.0
2021-12-06,2021-12-13,736532,1671477,113.0,95.0,444.0
2021-12-06,2021-12-11,567663,11400911,116.0,95.0,433.0
2021-12-06,2021-12-08,736388,1667833,95.0,94.0,357.0
2021-12-06,2021-12-07,566834,11400611,107.0,94.0,407.0
2021-12-06,2021-12-10,728296,1667016,98.0,94.0,405.0
2021-12-06,2021-12-06,738862,1671477,94.0,93.0,351.0
2021-12-06,2021-12-11,495519,"22900101,24900201",105.0,93.0,419.0
2021-12-06,2021-12-13,568804,11406411,103.0,93.0,415.0
2021-12-06,2021-12-10,856144,12404031,92.0,92.0,373.0
2021-12-06,2021-12-13,731462,1667786,95.0,92.0,399.0
2021-12-06,2021-12-13,580297,12403811,96.0,91.0,365.0
2021-12-06,2021-12-13,839869,12403931,92.0,91.0,336.0
2021-12-06,2021-12-07,576184,11413711,109.0,91.0,412.0
2021-12-06,2021-12-13,600364,"21400332,21403731",106.0,91.0,344.0
2021-12-06,2021-12-10,738462,1667833,104.0,90.0,416.0
2021-12-06,2021-12-11,594041,12406031,148.0,90.0,556.0
2021-12-06,2021-12-10,738212,1655791,112.0,90.0,425.0
2021-12-06,2021-12-10,727053,1690507,98.0,89.0,369.0
2021-12-06,2021-12-08,733249,1674409,91.0,89.0,323.0
2021-12-06,2021-12-12,730128,1667814,103.0,88.0,381.0
2021-12-06,2021-12-13,735024,1655834,86.0,86.0,324.0
2021-12-06,2021-12-14,590650,12401131,87.0,86.0,338.0
2021-12-06,2021-12-10,726131,1667016,87.0,86.0,337.0
2021-12-06,2021-12-13,738019,1667737,98.0,86.0,337.0
2021-12-06,2021-12-10,724677,1690507,87.0,85.0,318.0
2021-12-06,2021-12-12,724461,1664032,86.0,85.0,371.0
2021-12-06,2021-12-13,898172,24900301,119.0,84.0,329.0
2021-12-06,2021-12-14,597630,21400132,97.0,84.0,419.0
2021-12-06,2021-12-13,578743,12404011,95.0,83.0,399.0
2021-12-06,2021-12-06,594122,12406431,84.0,83.0,345.0
2021-12-06,2021-12-07,732585,1664773,84.0,83.0,346.0
2021-12-06,2021-12-14,588000,11400132,97.0,82.0,375.0
2021-12-06,2021-12-12,594676,12407131,97.0,82.0,363.0
2021-12-06,2021-12-10,737736,1667802,86.0,82.0,327.0
2021-12-06,2021-12-14,495601,21900101,84.0,82.0,362.0
2021-12-06,2021-12-10,727332,1664032,85.0,81.0,307.0
2021-12-06,2021-12-10,727681,1655652,86.0,81.0,326.0
2021-12-06,2021-12-13,898293,11901301,80.0,80.0,337.0
2021-12-06,2021-12-13,775670,"24900301,25900201",95.0,80.0,332.0
2021-12-06,2021-12-10,593044,12404011,83.0,80.0,290.0
2021-12-06,2021-12-09,733435,1662363,84.0,80.0,345.0
2021-12-06,2021-12-13,752260,1671504,83.0,80.0,312.0
2021-12-06,2021-12-12,724086,1664032,97.0,79.0,347.0
2021-12-06,2021-12-11,733339,1667066,83.0,79.0,359.0
2021-12-06,2021-12-09,733709,1667737,97.0,79.0,341.0
2021-12-06,2021-12-10,898275,23900401,91.0,79.0,356.0
2021-12-06,2021-12-13,603164,21407931,78.0,78.0,244.0
2021-12-06,2021-12-11,574466,11409811,79.0,78.0,273.0
2021-12-06,2021-12-08,736880,1670439,96.0,78.0,368.0
2021-12-06,2021-12-10,737911,1667077,91.0,77.0,341.0
2021-12-06,2021-12-14,839916,21404331,78.0,77.0,192.0
2021-12-06,2021-12-10,729505,1708973,80.0,77.0,285.0
2021-12-06,2021-12-14,594174,12405531,95.0,77.0,343.0
2021-12-06,2021-12-13,586784,11405731,93.0,76.0,356.0
2021-12-06,2021-12-14,495683,22900301,75.0,75.0,384.0
2021-12-06,2021-12-08,582433,12406311,75.0,75.0,305.0
2021-12-06,2021-12-08,591033,12401031,99.0,75.0,356.0
2021-12-06,2021-12-13,567337,11400211,77.0,75.0,312.0
2021-12-06,2021-12-10,724475,1690507,76.0,75.0,294.0
2021-12-06,2021-12-06,737270,1671477,79.0,74.0,313.0
2021-12-06,2021-12-13,727779,1667734,81.0,74.0,282.0
2021-12-06,2021-12-08,725992,1667717,78.0,73.0,271.0
2021-12-06,2021-12-09,836312,1667726,83.0,73.0,306.0
